sku,has_packaging,category,unit_weight_grams,packaging_type
alias-99561,yes,paper,2.0,label
alias-99561,yes,paper,2.0,label
alias-25664,yes,plastic,7.73,flowpack
alias-25664,yes,paper,21.2,tray
alias-25006,yes,paper,0.6,label
alias-25006,yes,paper,2.0,label
alias-25006,yes,plastic,15.0,flowpack
alias-25006,yes,plastic,12.0,thermoform
alias-25006,yes,paper,2.0,label
alias-82794,yes,plastic,12.0,thermoform
alias-82794,yes,paper,0.6,label
alias-88533,yes,paper,0.6,label
alias-88533,yes,plastic,12.0,thermoform
alias-96602,yes,plastic,12.0,thermoform
alias-96602,yes,paper,0.6,label
alias-85222,yes,plastic,12.0,thermoform
alias-85222,yes,paper,0.6,label
alias-85222,yes,paper,2.0,label
alias-85222,yes,paper,2.0,label
alias-85222,yes,plastic,20.0,flowpack
alias-64326,yes,paper,0.6,label
alias-64326,yes,paper,0.6,label
alias-64326,yes,plastic,8.0,flowpack
alias-64326,yes,plastic,12.0,thermoform
alias-11974,yes,paper,0.6,label
alias-11974,yes,plastic,12.0,thermoform
alias-13750,yes,paper,0.6,label
alias-13750,yes,plastic,26.0,thermoform
alias-13750,yes,paper,0.6,label
alias-13750,yes,plastic,8.0,flowpack
alias-21878,yes,paper,0.6,label
alias-21878,yes,plastic,8.0,flowpack
alias-21878,yes,paper,0.6,label
alias-21878,yes,plastic,12.0,thermoform
alias-25142,yes,paper,0.6,label
alias-25142,yes,plastic,12.0,thermoform
alias-72004,yes,plastic,12.0,thermoform
alias-72004,yes,paper,0.6,label
alias-57013,yes,paper,0.6,label
alias-57013,yes,plastic,12.0,thermoform
alias-97112,yes,plastic,12.0,thermoform
alias-97112,yes,plastic,8.0,flowpack
alias-97112,yes,paper,0.6,label
alias-97112,yes,paper,0.6,label
alias-56199,yes,paper,0.6,label
alias-56199,yes,plastic,12.0,thermoform
alias-54247,yes,paper,0.6,label
alias-54247,yes,plastic,12.0,thermoform
alias-22807,yes,plastic,12.0,flowpack
alias-22807,yes,paper,0.6,label
alias-22807,yes,plastic,8.0,flowpack
alias-22807,yes,paper,0.6,label
alias-93906,yes,paper,0.6,label
alias-93906,yes,plastic,12.0,thermoform
alias-73392,yes,plastic,12.0,thermoform
alias-73392,yes,paper,0.6,label
alias-72984,yes,paper,0.6,label
alias-72984,yes,plastic,12.0,thermoform
alias-42850,yes,paper,0.6,label
alias-42850,yes,plastic,19.0,thermoform
alias-58045,yes,plastic,12.0,thermoform
alias-58045,yes,paper,0.6,label
alias-95228,yes,paper,0.6,label
alias-95228,yes,plastic,12.0,thermoform
alias-76273,yes,plastic,12.0,thermoform
alias-76273,yes,paper,0.6,label
alias-76273,yes,paper,2.0,label
alias-76273,yes,plastic,15.0,flowpack
alias-76273,yes,paper,2.0,label
alias-52605,yes,plastic,26.0,thermoform
alias-52605,yes,paper,0.6,label
alias-27051,yes,plastic,12.0,thermoform
alias-27051,yes,paper,0.6,label
alias-18368,yes,paper,0.6,label
alias-18368,yes,plastic,12.0,thermoform
alias-37032,yes,plastic,12.0,thermoform
alias-37032,yes,paper,0.6,label
alias-76077,yes,plastic,12.0,thermoform
alias-76077,yes,paper,0.6,label
alias-63709,yes,paper,0.6,label
alias-63709,yes,plastic,12.0,thermoform
alias-60549,yes,plastic,12.0,thermoform
alias-60549,yes,paper,0.6,label
alias-17808,yes,plastic,8.0,flowpack
alias-17808,yes,paper,0.6,label
alias-17808,yes,plastic,8.0,flowpack
alias-52434,yes,paper,21.5,tray
alias-52434,yes,plastic,8.93,flowpack
alias-54601,yes,paper,0.6,label
alias-54601,yes,plastic,19.0,thermoform
alias-12412,yes,paper,0.6,label
alias-12412,yes,plastic,12.0,thermoform
alias-78202,yes,paper,0.6,label
alias-78202,yes,plastic,12.0,thermoform
alias-51218,yes,plastic,8.0,flowpack
alias-51218,yes,plastic,8.0,flowpack
alias-31600,yes,plastic,8.0,flowpack
